,open,high,low,close,volume,adj_close
2026-02-05,201.855,204.04,190.72,192.5,62196419,192.5
2026-02-06,197.13,209.27,196.43,208.44,54504470,208.44
2026-02-09,206.895,217.6,204.15,216.0,38810841,216.0
2026-02-10,215.14,219.39,213.13,213.57,25326694,213.57
2026-02-11,217.88,219.65,209.21,213.58,33384744,213.58
2026-02-12,215.83,218.46,205.14,205.94,32180957,205.94
2026-02-13,204.02,210.05,203.8801,207.32,26123882,207.32
2026-02-17,202.145,205.3,194.83,203.08,33712081,203.08
2026-02-18,198.405,203.2,195.0001,200.12,35664087,200.12
2026-02-19,200.11,204.1,198.2939,203.37,25842274,203.37
2026-02-20,200.115,204.87,198.56,200.15,36317256,200.15
2026-02-23,198.09,199.38,194.15,196.6,28187909,196.6
2026-02-24,211.63,216.71,206.5,213.84,81367020,213.84
2026-02-25,214.82,216.7,210.33,210.86,44588059,210.86
2026-02-26,208.8,209.79,201.46,203.68,35020472,203.68
2026-02-27,200.105,201.89,197.74,200.21,31312396,200.21
2026-03-02,193.845,198.74,190.0,198.62,34120155,198.62
2026-03-03,191.46,193.64,188.22,190.95,37785697,190.95
2026-03-04,192.12,202.44,189.86,202.07,40912561,202.07
2026-03-05,197.77,203.79,194.88,199.45,36000660,199.45
2026-03-06,195.27,200.24,191.2501,192.43,33913779,192.43
2026-03-09,189.36,202.97,189.02,202.68,38877220,202.68
2026-03-10,202.51,206.59,202.2,203.23,29139162,203.23
2026-03-11,205.11,209.21,203.63,204.83,23076366,204.83
2026-03-12,202.825,203.62,196.67,197.74,28886913,197.74
2026-03-13,198.11,199.68,192.27,193.39,27561888,193.39
2026-03-16,194.975,200.17,194.8,196.58,30285170,196.58
2026-03-17,196.68,199.21,195.26,196.31,22779675,196.31
2026-03-18,196.0,202.86,195.75,199.46,28569135,199.46
2026-03-19,195.032,205.88,192.83,205.27,32245329,205.27
2026-03-20,204.885,206.3,198.26,201.33,37265103,201.33
2026-03-23,206.395,209.109,201.71,202.68,31857752,202.68
2026-03-24,201.39,206.43,200.13,205.37,27258849,205.37
2026-03-25,211.505,221.33,211.505,220.27,48518269,220.27
2026-03-26,217.979,221.0,203.43,203.77,49212976,203.77
2026-03-27,201.77,203.2699,197.69,201.99,29206578,201.99
2026-03-30,204.95,208.43,192.865,196.04,41053298,196.04
