,open,high,low,close,volume,adj_close
2026-02-06,202.7,211.44,200.31,210.32,179210851,210.32
2026-02-09,208.97,212.81,203.35,208.72,91178443,208.72
2026-02-10,208.795,212.6499,206.411,206.96,67175031,206.96
2026-02-11,208.06,208.57,202.49,204.08,65545455,204.08
2026-02-12,203.96,203.96,197.56,199.6,83975393,199.6
2026-02-13,198.88,201.16,197.275,198.79,66321593,198.79
2026-02-17,198.125,201.7362,196.0,201.15,69879200,201.15
2026-02-18,202.07,206.86,201.51,204.79,51003299,204.79
2026-02-19,203.8,205.6396,202.81,204.86,35669611,204.86
2026-02-20,204.76,211.17,203.75,210.11,65881611,210.11
2026-02-23,208.095,208.43,203.11,205.27,53581508,205.27
2026-02-24,205.47,210.36,203.25,208.56,41137162,208.56
2026-02-25,210.46,211.59,208.93,210.64,41346376,210.64
2026-02-26,210.73,211.05,205.345,207.92,47756765,207.92
2026-02-27,206.83,210.33,205.2,210.0,57422777,210.0
2026-03-02,204.55,209.73,203.46,208.39,46001010,208.39
2026-03-03,203.1,209.178,202.48,208.73,43184918,208.73
2026-03-04,210.47,217.54,210.15,216.82,54731101,216.82
2026-03-05,215.98,220.47,215.59,218.94,60943447,218.94
2026-03-06,214.99,217.32,212.53,213.21,51152716,213.21
2026-03-09,210.45,213.82,207.11,213.49,54642926,213.49
2026-03-10,214.19,215.65,212.43,214.33,35678834,214.33
2026-03-11,215.705,217.0,211.35,212.65,34199303,212.65
2026-03-12,210.39,211.71,208.15,209.53,44349501,209.53
2026-03-13,209.605,210.56,206.22,207.67,35662137,207.67
2026-03-16,208.35,212.724,207.445,211.74,42209316,211.74
2026-03-17,212.82,215.7,212.43,215.2,44969943,215.2
2026-03-18,213.925,215.1401,208.825,209.87,37846642,209.87
2026-03-19,207.06,209.12,206.05,208.76,36440622,208.76
2026-03-20,207.4,207.54,204.316,205.37,63694603,205.37
2026-03-23,209.79,212.8,209.51,210.14,44277356,210.14
2026-03-24,207.95,209.35,206.64,207.24,35351425,207.24
2026-03-25,211.56,213.07,209.9,211.71,36388791,211.71
2026-03-26,210.61,212.885,207.12,207.54,46745978,207.54
2026-03-27,206.455,206.6,199.14,199.34,56009763,199.34
2026-03-30,201.48,203.8,199.9802,200.95,46373797,200.95
2026-03-31,204.845,210.28,204.14,208.27,58470078,208.27
2026-04-01,210.435,213.58,208.19,210.57,45955395,210.57
2026-04-02,206.54,212.2125,204.9,209.77,31453039,209.77
2026-04-06,209.795,212.95,209.59,212.79,25385495,212.79
2026-04-07,211.24,213.97,209.075,213.77,28154557,213.77
2026-04-08,223.79,226.1,219.62,221.25,51092698,221.25
2026-04-09,225.232,233.8,223.27,233.65,65964171,233.65
2026-04-10,235.295,240.43,235.21,238.38,56912842,238.38
