,open,high,low,close,volume,adj_close
2026-02-19,992.31,1007.86,984.11,987.82,1749967,987.82
2026-02-20,983.13,987.37,977.81,985.27,1662183,985.27
2026-02-23,981.8,991.305,978.06,986.02,1489290,986.02
2026-02-24,986.38,998.88,985.04,998.43,1671134,998.43
2026-02-25,997.675,1002.5,991.44,994.76,1554568,994.76
2026-02-26,996.915,1005.5199,983.53,986.74,1804376,986.74
2026-02-27,990.53,1014.19,989.58,1010.79,3935004,1010.79
2026-03-02,1010.91,1020.82,1002.49,1002.77,1986902,1002.77
2026-03-03,1002.54,1015.75,1000.63,1007.77,1947502,1007.77
2026-03-04,1005.0,1014.0,997.0,1006.74,1806638,1006.74
2026-03-05,996.5,999.25,978.81,982.57,2774284,982.57
2026-03-06,967.005,1002.5,960.46,998.1,2708851,998.1
2026-03-09,999.63,1007.41,987.99,1005.3,2348212,1005.3
2026-03-10,1000.5,1010.1,996.0,997.36,1613381,997.36
2026-03-11,996.32,997.39,987.89,992.23,1262006,992.23
2026-03-12,988.61,1006.21,984.0,1003.32,1669248,1003.32
2026-03-13,1005.9,1012.83,1002.0,1008.43,1469672,1008.43
2026-03-16,1010.5,1012.65,995.4301,1001.74,1243752,1001.74
2026-03-17,1006.49,1008.095,994.75,996.16,1210414,996.16
2026-03-18,990.37,993.9819,978.14,979.92,1434421,979.92
2026-03-19,985.84,988.79,970.41,974.78,1340173,974.78
2026-03-20,975.08,980.76,970.54,972.33,2621555,972.33
2026-03-23,985.665,986.64,964.53,965.73,1779094,965.73
2026-03-24,962.06,981.28,961.0,973.82,1259325,973.82
2026-03-25,978.0,980.81,968.0504,974.86,1067386,974.86
2026-03-26,975.69,987.19,972.7201,979.65,1498250,979.65
2026-03-27,982.015,987.11,978.11,983.86,1540925,983.86
2026-03-30,987.65,1005.54,985.01,996.58,2129129,996.58
2026-03-31,997.0,1008.6,985.85,996.43,2447853,996.43
2026-04-01,995.025,1003.13,990.59,996.56,1769848,996.56
2026-04-02,1008.0,1016.0,999.21,1014.96,1828612,1014.96
2026-04-06,1014.96,1020.69,1004.01,1018.55,1448642,1018.55
2026-04-07,1020.26,1020.86,1004.85,1013.21,1428543,1013.21
2026-04-08,1004.44,1030.46,1000.0,1030.27,2265711,1030.27
2026-04-09,1029.49,1035.82,1025.0569,1032.03,1433627,1032.03
2026-04-10,1026.51,1028.9999,995.5,998.47,2333039,998.47
2026-04-13,998.47,1000.05,979.3601,980.85,2255514,980.85
2026-04-14,973.68,977.61,966.0,974.8,2136508,974.8
2026-04-15,970.31,985.38,968.3,984.75,2346203,984.75
2026-04-16,985.0,995.748,981.61,987.21,1484286,987.21
2026-04-17,985.0,1000.67,977.0,999.89,2346525,999.89
2026-04-20,1003.85,1011.3,994.14,997.84,1475447,997.84
2026-04-21,994.37,1006.5,986.7,1005.81,1367093,1005.81
2026-04-22,1004.98,1008.11,998.29,1003.7,1215151,1003.7
2026-04-23,1007.575,1016.6,1007.03,1014.38,1570728,1014.38
2026-04-24,1012.0,1013.45,1002.5,1011.15,1695617,1011.15
2026-04-27,1008.625,1014.41,996.63,998.01,1620358,998.01
