,open,high,low,close,volume,adj_close
2026-03-25,293.44,296.0,289.24,290.93,29460669,290.93
2026-03-26,287.91,287.95,278.5,280.92,39080578,280.92
2026-03-27,277.275,279.37,273.95,274.34,35890612,274.34
2026-03-30,276.42,277.09,272.11,273.5,35141244,273.5
2026-03-31,278.04,288.08,277.09,287.56,43875400,287.56
2026-04-01,290.835,300.52,290.41,297.39,37684462,297.39
2026-04-02,290.69,298.08,289.45,295.77,21666465,295.77
2026-04-06,295.87,300.62,295.18,299.99,16945494,299.99
2026-04-07,302.725,305.63,297.72,305.46,23205361,305.46
2026-04-08,320.445,322.08,315.02,317.32,33547140,317.32
2026-04-09,315.905,319.54,311.06,318.49,23739173,318.49
2026-04-10,320.015,321.83,316.32,317.24,19152630,317.24
2026-04-13,317.135,321.63,315.47,321.31,18866424,321.31
2026-04-14,324.785,333.29,323.75,332.91,27721351,332.91
2026-04-15,332.89,337.48,330.9,337.12,24918842,337.12
2026-04-16,338.75,339.88,334.52,336.02,20541487,336.02
2026-04-17,337.65,342.32,336.24,341.68,25581881,341.68
2026-04-20,340.755,341.4,336.61,337.42,18784226,337.42
2026-04-21,337.685,339.34,331.35,332.29,23123795,332.29
2026-04-22,337.02,339.82,335.17,339.32,20293014,339.32
2026-04-23,341.18,341.96,336.18,338.89,18650256,338.89
2026-04-24,338.725,345.27,335.39,344.4,26426061,344.4
2026-04-27,345.98,353.18,342.73,350.34,28576887,350.34
2026-04-28,348.55,352.42,346.12,349.78,27824052,349.78
2026-04-29,347.565,355.79,344.21,349.94,35376328,349.94
2026-04-30,374.07,385.84,365.82,384.8,72039993,384.8
2026-05-01,381.63,386.76,379.05,385.69,30105226,385.69
2026-05-04,385.63,387.38,379.79,383.25,26298574,383.25
2026-05-05,386.23,392.8199,384.02,388.43,23878626,388.43
2026-05-06,394.245,399.8499,392.76,398.04,31308476,398.04
2026-05-07,399.92,400.1,392.68,397.99,24433490,397.99
2026-05-08,397.0,402.0,396.36,400.8,21461849,400.8
2026-05-11,393.645,397.44,388.47,388.64,30753738,388.64
2026-05-12,387.34,388.52,382.77,387.35,26017488,387.35
2026-05-13,385.595,403.7,385.0,402.62,28144555,402.62
2026-05-14,397.28,402.93,395.84,401.07,21136716,401.07
2026-05-15,396.315,399.5399,393.18,396.78,20309702,396.78
2026-05-18,395.685,408.61,394.53,396.94,26837196,396.94
2026-05-19,396.96,397.15,386.11,387.66,39545672,387.66
2026-05-20,387.7,393.8599,382.9,388.91,30504055,388.91
2026-05-21,385.7,392.5,383.02,387.66,24852843,387.66
2026-05-22,387.345,388.74,381.7716,382.97,20442123,382.97
2026-05-26,384.51,389.2599,382.6,388.88,27747388,388.88
2026-05-27,386.665,393.88,385.9,388.83,23087287,388.83
2026-05-28,388.0,391.87,385.16,390.13,24357455,390.13
2026-05-29,385.24,385.24,378.46,380.34,44415846,380.34
2026-06-01,376.52,378.56,373.52,376.37,28672120,376.37
2026-06-02,366.59,373.54,358.44,361.85,50412300,361.85
2026-06-03,362.03,366.45,358.08,358.99,55441583,358.99
2026-06-04,358.9,373.2499,358.21,372.19,44055520,372.19
2026-06-05,366.34,372.08,364.1207,368.53,37471206,368.53
2026-06-08,365.18,366.2,360.5309,363.31,27942464,363.31
2026-06-09,367.09,372.08,357.3,364.26,29535072,364.26
2026-06-10,363.19,368.555,355.2,356.38,32357132,356.38
2026-06-11,355.925,358.8,346.36,357.77,35538165,357.77
2026-06-12,362.62,366.57,354.94,359.68,24731019,359.68
2026-06-15,367.93,372.99,366.55,369.35,27727493,369.35
2026-06-16,369.6,376.0,367.06,373.25,24876095,373.25
2026-06-17,369.125,372.33,362.02,363.79,24543644,363.79
2026-06-18,365.75,369.48,358.67,368.03,44470070,368.03
2026-06-22,357.945,358.92,341.7219,349.68,52814764,349.68
2026-06-23,340.69,349.29,340.2,346.13,34007652,346.13
2026-06-24,349.035,353.476,341.93,345.29,44997277,345.29
2026-06-25,336.73,345.57,335.84,343.71,44564576,343.71
2026-06-26,342.55,346.36,330.2,337.39,114706326,337.39
2026-06-29,341.825,354.35,340.67,353.65,34213932,353.65
2026-06-30,353.865,358.62,350.4,357.37,35237231,357.37
2026-07-01,358.37,362.97,356.43,361.21,26736445,361.21
2026-07-02,359.48,364.205,353.42,359.91,25999346,359.91
2026-07-06,361.55,367.93,357.3805,366.46,26915808,366.46
2026-07-07,369.07,373.16,365.5,367.03,24045581,367.03
2026-07-08,364.76,367.84,358.02,361.92,22094769,361.92
2026-07-09,354.31,359.65,351.08,358.89,24729093,358.89
2026-07-10,357.525,357.82,352.75,357.18,18146146,357.18
2026-07-13,356.19,358.13,351.75,352.51,15901732,352.51
2026-07-14,351.195,360.16,351.09,359.51,18259355,359.51
2026-07-15,357.97,373.65,357.76,370.92,28284564,370.92
2026-07-16,373.06,375.27,352.3001,354.46,41158466,354.46
2026-07-17,346.0,348.52,341.36,346.77,29959283,346.77
2026-07-20,350.88,359.68,350.52,351.99,24736644,351.99
2026-07-21,351.32,351.32,347.0,347.15,23369833,347.15
2026-07-22,348.155,349.94,341.73,342.09,39334140,342.09
2026-07-23,321.13,324.49,314.9,317.69,69419700,317.69
2026-07-24,318.42,324.18,317.32,319.74,31806553,319.74
2026-07-27,325.04,330.42,324.45,326.56,28471593,326.56
2026-07-28,327.9,335.88,324.44,333.71,29511940,333.71
2026-07-29,334.665,342.5,331.62,336.71,27501632,336.71
2026-07-30,334.195,336.51,330.34,333.66,30168000,333.66
2026-07-31,340.83,358.58,340.0,356.13,46498023,356.13
2026-08-03,365.445,376.6932,363.35,373.51,38669652,373.51
2026-08-04,368.22,380.52,367.5,377.65,35705703,377.65
2026-08-05,383.34,384.48,356.77,362.43,46926339,362.43
2026-08-06,360.77,364.1259,356.88,357.75,25235895,357.75
2026-08-07,356.72,358.9,353.78,354.3,19859905,354.3
2026-08-10,355.175,357.61,352.71,357.52,18991368,357.52
2026-08-11,355.89,356.81,343.39,343.8,29081802,343.8
2026-08-12,346.31,346.48,340.88,343.54,25011987,343.54
2026-08-13,345.77,347.93,343.76,346.36,17866072,346.36
2026-08-14,346.8,350.45,344.5,345.9,17808598,345.9
2026-08-17,346.265,347.25,341.93,344.0,18225546,344.0
