,open,high,low,close,volume,adj_close
2026-01-09,363.5,375.49,361.31,374.64,7093463,374.64
2026-01-12,374.64,376.42,369.25,374.94,5859777,374.94
2026-01-13,375.865,380.18,370.82,379.74,4785799,379.74
2026-01-14,376.69,380.09,373.97,375.95,4959895,375.95
2026-01-15,376.02,380.18,374.46,379.16,2990132,379.16
2026-01-16,379.25,382.7699,377.51,380.17,3709005,380.17
2026-01-20,372.24,377.34,371.3,375.11,5346827,375.11
2026-01-21,375.8,385.92,374.675,384.64,5169763,384.64
2026-01-22,386.45,390.6,380.53,381.03,4828094,381.03
2026-01-23,381.5,384.3745,379.21,383.77,3138301,383.77
2026-01-26,385.0,387.42,381.95,386.53,3984977,386.53
2026-01-27,384.95,386.5,378.27,380.36,3423443,380.36
2026-01-28,380.21,381.0,373.65,375.3,3371493,375.3
2026-01-29,374.9,377.09,370.15,371.81,4744524,371.81
2026-01-30,372.41,375.12,368.55,374.59,3755790,374.59
2026-02-02,374.24,379.65,368.24,378.12,4757439,378.12
2026-02-03,377.29,391.78,377.0,381.1,5609989,381.1
2026-02-04,384.59,390.532,384.36,387.2,5574739,387.2
2026-02-05,386.68,387.0,380.83,382.37,3759703,382.37
2026-02-06,381.34,386.37,379.1032,385.15,4685403,385.15
2026-02-09,384.36,385.78,378.2,381.0,3639329,381.0
2026-02-10,383.81,391.7425,381.935,389.68,3160838,389.68
2026-02-11,385.0,391.42,382.08,390.68,3229866,390.68
2026-02-12,393.55,397.63,389.0,390.22,3702230,390.22
2026-02-13,390.2,394.0,387.1,391.05,2875923,391.05
2026-02-17,392.23,394.0,380.5,383.04,3485285,383.04
2026-02-18,382.75,385.119,379.54,383.52,2982644,383.52
2026-02-19,383.74,383.74,377.39,378.58,2930887,378.58
2026-02-20,377.45,384.82,375.9482,382.25,3984167,382.25
2026-02-23,380.99,384.14,369.58,376.99,5495670,376.99
2026-02-24,389.11,394.35,382.21,384.48,5675810,384.48
2026-02-25,381.07,381.435,371.37,375.57,5036873,375.57
2026-02-26,378.4,381.48,374.935,375.09,2889806,375.09
2026-02-27,373.86,382.19,372.34,380.72,4819535,380.72
2026-03-02,375.0,375.11,369.0,370.81,4537578,370.81
2026-03-03,363.73,368.775,360.12,366.92,3965089,366.92
2026-03-04,366.2,369.57,361.5146,369.11,4324435,369.11
2026-03-05,366.12,366.98,359.2,361.68,4755978,361.68
2026-03-06,357.54,359.45,353.22,357.92,4167616,357.92
2026-03-09,355.6,356.49,345.64,353.56,4224458,353.56
2026-03-10,353.04,361.64,351.02,357.15,3986011,357.15
2026-03-11,355.46,356.32,349.11,350.84,3200119,350.84
2026-03-12,346.04,348.67,338.7,338.93,3893565,338.93
2026-03-13,341.69,343.42,338.03,339.03,2531908,339.03
