,open,high,low,close,volume,adj_close
2026-01-08,577.51,589.67,573.5,580.07,3390208,580.07
2026-01-09,578.11,581.311,575.34,575.54,2221204,575.54
2026-01-12,564.03,567.88,555.8901,566.28,3486353,566.28
2026-01-13,558.95,558.95,533.7,544.99,8721606,544.99
2026-01-14,544.5,548.59,538.15,546.82,3943984,546.82
2026-01-15,548.52,549.88,538.995,542.65,4005601,542.65
2026-01-16,540.24,544.0272,538.68,539.49,3496430,539.49
2026-01-20,530.6,536.41,528.51,531.74,4057513,531.74
2026-01-21,533.52,537.4,524.77,527.57,4938103,527.57
2026-01-22,529.92,533.19,523.81,532.86,5114892,532.86
2026-01-23,531.41,532.14,520.16,524.74,5003162,524.74
2026-01-26,526.71,530.39,522.65,527.36,4839678,527.36
2026-01-27,527.65,529.1105,519.55,520.41,3669774,520.41
2026-01-28,521.96,523.8325,518.27,521.37,5483042,521.37
2026-01-29,531.79,544.24,520.109,543.73,5488326,543.73
2026-01-30,541.01,543.7575,535.23,538.79,4307289,538.79
2026-02-02,540.99,557.12,540.945,555.37,4603302,555.37
2026-02-03,554.33,560.11,549.03,550.72,5702084,550.72
2026-02-04,549.73,556.6,541.01,553.52,4448326,553.52
2026-02-05,554.85,561.9199,549.95,551.89,4621627,551.89
2026-02-06,553.07,556.79,539.8,548.74,3779745,548.74
2026-02-09,543.71,546.555,534.2,535.33,4110267,535.33
2026-02-10,536.27,547.0,535.0,540.39,2222686,540.39
2026-02-11,538.15,540.7,533.11,537.46,3691093,537.46
2026-02-12,539.93,543.0,527.15,527.46,3466526,527.46
2026-02-13,529.06,533.99,516.02,518.36,4017748,518.36
2026-02-17,515.0,525.86,515.0,521.93,3177954,521.93
2026-02-18,522.49,530.7595,519.395,527.98,3575919,527.98
2026-02-19,524.81,526.53,516.05,520.26,3009722,520.26
2026-02-20,520.25,527.5,518.59,526.41,2838652,526.41
2026-02-23,520.47,522.72,490.0,496.03,6312346,496.03
2026-02-24,493.74,499.25,491.26,498.0,5292852,498.0
2026-02-25,502.82,510.54,502.42,509.39,4139074,509.39
2026-02-26,510.95,519.9,509.01,514.77,4843689,514.77
2026-02-27,509.47,518.76,506.75,517.21,5121285,517.21
2026-03-02,509.48,526.16,507.3441,521.0,3826980,521.0
2026-03-03,513.61,526.795,513.0,524.32,4199725,524.32
2026-03-04,524.16,526.1599,520.28,522.92,3154939,522.92
2026-03-05,521.1,525.32,512.75,524.66,3883390,524.66
2026-03-06,519.64,522.55,512.2,522.34,2873196,522.34
2026-03-09,516.27,520.89,509.11,517.72,3546721,517.72
2026-03-10,516.95,519.33,511.0,514.72,2759997,514.72
2026-03-11,513.08,515.31,502.72,504.0,2874472,504.0
2026-03-12,500.0,505.615,496.29,497.31,2702469,497.31
2026-03-13,496.56,501.86,495.4,497.99,2809315,497.99
2026-03-16,498.62,508.58,498.62,508.5,3450564,508.5
2026-03-17,510.55,516.96,506.5,506.58,2834283,506.58
2026-03-18,503.75,503.75,487.92,488.47,3458707,488.47
2026-03-19,490.52,497.08,487.31,491.14,3284588,491.14
2026-03-20,492.47,499.215,491.005,496.32,5762949,496.32
2026-03-23,506.05,507.035,500.38,500.38,2986060,500.38
2026-03-24,495.64,502.7299,493.235,498.93,2278879,498.93
2026-03-25,501.29,506.253,494.56,502.76,2422194,502.76
2026-03-26,500.51,504.8,499.0501,500.75,3995500,500.75
2026-03-27,499.45,500.05,480.5,484.24,3963656,484.24
2026-03-30,488.03,495.54,487.0,494.0,3629528,494.0
2026-03-31,500.0,501.41,490.58,499.66,4417888,499.66
2026-04-01,502.23,503.0,485.65,491.65,4607139,491.65
2026-04-02,488.13,499.8799,487.75,493.44,2926020,493.44
2026-04-06,493.75,501.905,491.1763,501.5,2466299,501.5
2026-04-07,498.285,502.6025,495.67,498.28,3593150,498.28
2026-04-08,508.0,511.82,505.855,507.12,3874920,507.12
2026-04-09,504.46,506.67,497.76,503.57,3301927,503.57
2026-04-10,502.01,504.385,495.67,498.66,2842593,498.66
2026-04-13,496.23,508.87,495.0,508.58,3318068,508.58
2026-04-14,508.0,513.98,506.69,513.16,2745002,513.16
2026-04-15,516.0,522.435,513.2,519.96,2911234,519.96
2026-04-16,518.03,522.23,517.01,518.54,2967696,518.54
2026-04-17,521.5,527.465,518.74,521.3,3617601,521.3
2026-04-20,520.76,524.48,514.54,516.65,2503858,516.65
2026-04-21,516.93,523.11,510.165,511.35,3445129,511.35
2026-04-22,512.07,513.79,505.72,510.16,2288823,510.16
2026-04-23,507.37,509.65,498.37,502.38,2724324,502.38
2026-04-24,499.0,505.605,495.63,504.17,2406989,504.17
2026-04-27,500.76,509.045,500.76,506.43,2531468,506.43
2026-04-28,512.25,517.0,507.24,507.62,3892549,507.62
2026-04-29,529.99,534.21,520.89,525.23,5876693,525.23
2026-04-30,504.5,514.15,498.96,502.92,5975051,502.92
2026-05-01,506.0,509.0,492.15,495.46,4531833,495.46
2026-05-04,495.0,507.285,493.88,504.74,4419876,504.74
2026-05-05,501.03,503.88,493.26,497.08,4216704,497.08
2026-05-06,499.135,500.7399,489.73,491.89,4363279,491.89
