,open,high,low,close,volume,adj_close
2026-04-13,103.032,103.665,102.06,103.16,26042804,103.16
2026-04-14,103.12,106.57,103.04,106.28,40534865,106.28
2026-04-15,105.98,107.85,105.04,107.71,38023679,107.71
2026-04-16,107.47,108.945,106.6201,107.79,64928250,107.79
2026-04-17,96.37,98.74,95.1,97.31,125958732,97.31
2026-04-20,97.14,97.6,93.54,94.83,63298264,94.83
2026-04-21,94.0,94.65,92.37,92.58,61962275,92.58
2026-04-22,93.06,93.85,92.77,93.24,33694345,93.24
2026-04-23,94.06,94.64,92.073,92.82,36851674,92.82
2026-04-24,92.57,93.28,91.8,92.44,32553177,92.44
2026-04-27,92.05,92.84,91.3,91.37,29707439,91.37
2026-04-28,91.5,92.34,90.02,92.27,33418126,92.27
2026-04-29,91.23,92.855,90.86,92.12,26122087,92.12
2026-04-30,91.35,94.22,90.77,93.61,40923012,93.61
2026-05-01,94.42,94.7,91.9,92.06,30406881,92.06
2026-05-04,92.1,92.33,90.89,91.02,25928818,91.02
2026-05-05,91.18,91.28,87.565,87.89,51961335,87.89
2026-05-06,87.15,88.55,86.715,88.27,41932442,88.27
2026-05-07,88.2,89.3991,88.13,88.25,30627603,88.25
2026-05-08,87.71,88.04,87.21,87.49,36215113,87.49
2026-05-11,86.525,87.34,85.1,85.45,40556459,85.45
2026-05-12,85.905,89.17,85.81,87.66,43556595,87.66
2026-05-13,86.565,88.62,86.28,87.56,30823502,87.56
2026-05-14,87.62,88.5,86.65,86.94,29408300,86.94
2026-05-15,87.69,89.49,86.685,87.02,32335655,87.02
2026-05-18,86.495,89.815,86.33,89.65,35800481,89.65
2026-05-19,90.14,91.48,88.69,89.33,34545729,89.33
2026-05-20,88.515,88.55,87.5,88.09,23243333,88.09
2026-05-21,88.03,90.3699,87.5201,89.3,28613851,89.3
2026-05-22,89.1,89.9699,88.17,88.6,23847195,88.6
2026-05-26,88.4,88.73,87.25,87.68,24014542,87.68
2026-05-27,87.046,88.495,86.82,87.35,22569537,87.35
2026-05-28,86.895,87.04,85.585,86.36,38803803,86.36
2026-05-29,86.2,86.67,85.66,86.02,39793616,86.02
2026-06-01,85.725,87.225,85.315,85.85,32747221,85.85
2026-06-02,85.605,85.9799,83.29,83.33,42947161,83.33
2026-06-03,82.91,83.31,81.1001,81.52,36714742,81.52
2026-06-04,83.19,83.7,81.37,81.56,39338810,81.56
2026-06-05,82.325,82.754,81.0,82.18,43474112,82.18
2026-06-08,81.66,83.0798,81.34,82.64,33056688,82.64
2026-06-09,82.125,82.34,81.34,81.41,34787190,81.41
2026-06-10,81.71,82.75,80.9772,82.0,36304581,82.0
2026-06-11,81.87,82.1,80.09,81.27,33417643,81.27
2026-06-12,81.575,82.0,79.28,80.34,35344169,80.34
2026-06-15,80.615,81.71,80.46,81.67,36430801,81.67
