,open,high,low,close,volume,adj_close
2026-03-16,182.97,188.88,181.41,183.22,217307380,183.22
2026-03-17,185.06,185.4,181.6804,181.93,182497757,181.93
2026-03-18,182.48,183.38,180.33,180.4,156683136,180.4
2026-03-19,178.01,179.98,175.785,178.56,170968527,178.56
2026-03-20,178.0,178.26,171.72,172.7,241323528,172.7
2026-03-23,177.255,178.37,174.76,175.64,182836294,175.64
2026-03-24,174.83,176.22,173.98,175.2,147667844,175.2
2026-03-25,177.1,181.22,176.85,178.68,162602054,178.68
2026-03-26,176.07,176.51,171.14,171.24,186152232,171.24
2026-03-27,170.0,170.97,167.01,167.52,196212684,167.52
2026-03-30,168.78,169.45,164.27,165.17,185626992,165.17
2026-03-31,166.97,174.62,166.96,174.4,226181301,174.4
2026-04-01,176.0,177.37,174.75,175.75,168132005,175.75
2026-04-02,172.18,177.49,171.37,177.39,143143157,177.39
2026-04-06,177.155,177.79,175.76,177.64,107564279,177.64
2026-04-07,175.725,178.23,173.66,178.1,132534902,178.1
2026-04-08,184.5,185.26,180.3,182.08,147732686,182.08
2026-04-09,181.84,184.08,180.62,183.91,116428523,183.91
2026-04-10,184.31,190.0,184.3,188.63,160459524,188.63
2026-04-13,186.03,189.66,185.74,189.31,133648180,189.31
2026-04-14,190.84,196.51,190.77,196.51,161307010,196.51
2026-04-15,196.54,200.4,195.74,198.87,185338388,198.87
2026-04-16,197.43,199.85,195.81,198.35,134012859,198.35
2026-04-17,199.9,201.7,199.27,201.68,160324416,201.68
2026-04-20,199.98,202.17,197.8397,202.06,119381388,202.06
2026-04-21,202.13,202.75,199.0,199.88,107945302,199.88
2026-04-22,200.99,202.5,199.0,202.5,107501042,202.5
2026-04-23,202.46,203.829,197.2206,199.64,113561830,199.64
2026-04-24,199.96,210.95,199.81,208.27,214134441,208.27
2026-04-27,209.645,216.825,207.38,216.61,187172421,216.61
2026-04-28,209.49,214.73,208.2,213.17,180275363,213.17
2026-04-29,212.7,212.72,207.5758,209.25,123711821,209.25
2026-04-30,209.93,210.3,198.7,199.57,225239156,199.57
2026-05-01,201.28,203.0,197.12,198.45,128646996,198.45
2026-05-04,199.5,201.73,194.74,198.48,125368092,198.48
2026-05-05,199.3,200.24,196.03,196.5,113406620,196.5
2026-05-06,199.89,208.265,198.61,207.83,188362812,207.83
2026-05-07,208.34,214.2,206.5,211.5,168307873,211.5
2026-05-08,213.03,217.8,212.89,215.2,136421361,215.2
2026-05-11,214.035,222.3,213.89,219.44,160685774,219.44
2026-05-12,218.545,223.75,214.92,220.78,159176619,220.78
2026-05-13,224.93,227.84,221.5653,225.83,150405386,225.83
2026-05-14,229.85,236.54,229.3,235.74,180782857,235.74
2026-05-15,229.76,231.5,224.24,225.32,180977639,225.32
2026-05-18,229.87,230.0,218.37,222.32,146280896,222.32
2026-05-19,219.62,224.48,217.91,220.61,140948207,220.61
2026-05-20,223.18,226.13,220.495,223.47,162279171,223.47
2026-05-21,222.29,227.3999,217.93,219.51,203381760,219.51
2026-05-22,220.904,221.01,214.8,215.33,169275710,215.33
2026-05-26,216.54,218.18,212.0,214.86,187202576,214.86
2026-05-27,214.12,214.15,208.78,212.6,167601172,212.6
2026-05-28,211.275,215.5191,211.22,214.25,143996048,214.25
2026-05-29,214.575,217.8599,211.13,211.14,289410623,211.14
2026-06-01,215.73,224.87,215.7,224.36,212850685,224.36
2026-06-02,227.18,232.28,221.35,222.82,193362903,222.82
2026-06-03,221.72,222.82,214.51,214.75,160907001,214.75
2026-06-04,213.905,221.6,210.97,218.66,169022152,218.66
2026-06-05,214.53,214.87,204.33,205.1,219655531,205.1
2026-06-08,210.18,210.47,206.0,208.64,138372837,208.64
2026-06-09,210.615,211.4,199.34,208.19,180962450,208.19
2026-06-10,204.43,207.22,199.92,200.42,161746587,200.42
2026-06-11,201.49,205.66,199.54,204.87,158643204,204.87
2026-06-12,204.86,207.07,203.4385,205.19,112345314,205.19
2026-06-15,208.92,212.7107,208.34,212.45,149936688,212.45
2026-06-16,211.18,211.49,207.29,207.41,125694100,207.41
2026-06-17,208.53,209.21,203.08,204.65,128363473,204.65
2026-06-18,207.33,211.39,206.5,210.69,241272013,210.69
2026-06-22,211.44,213.99,207.72,208.65,122041419,208.65
2026-06-23,202.17,203.77,200.0,200.04,153496196,200.04
2026-06-24,200.12,201.67,196.58,199.0,151810704,199.0
2026-06-25,200.08,200.8,192.13,195.74,150205647,195.74
2026-06-26,193.12,195.55,191.22,192.53,179304147,192.53
2026-06-29,193.85,196.18,189.8,194.97,148835724,194.97
2026-06-30,197.24,200.63,195.11,200.09,166476665,200.09
2026-07-01,196.2,199.85,193.45,197.58,146147597,197.58
2026-07-02,197.14,200.055,192.35,194.83,142385548,194.83
2026-07-06,194.42,197.55,193.99,195.55,108999015,195.55
2026-07-07,192.37,198.41,191.14,196.93,124154574,196.93
2026-07-08,195.18,205.16,195.06,204.12,147419133,204.12
2026-07-09,204.46,204.585,198.96,202.78,132037359,202.78
2026-07-10,202.0,211.0,201.92,210.96,148421001,210.96
2026-07-13,208.54,210.57,203.0,203.53,121411018,203.53
2026-07-14,208.2,212.55,203.8,211.8,124379646,211.8
2026-07-15,211.96,213.81,206.04,212.5,124797151,212.5
2026-07-16,210.17,211.08,205.845,207.4,122986074,207.4
2026-07-17,202.64,206.645,197.97,202.81,144281910,202.81
2026-07-20,205.87,207.74,202.28,203.28,88701540,203.28
2026-07-21,207.54,208.65,204.01,207.29,108685563,207.29
2026-07-22,205.805,214.39,204.95,212.06,137645596,212.06
2026-07-23,209.455,210.8687,205.96,208.76,110505328,208.76
2026-07-24,207.45,211.9099,204.81,206.84,114836805,206.84
2026-07-27,208.2,208.75,195.44,196.51,154353698,196.51
2026-07-28,195.0,198.7,192.74,197.01,134111494,197.01
2026-07-29,195.845,197.074,190.01,190.01,147680809,190.01
2026-07-30,193.45,197.25,191.52,195.04,129010151,195.04
2026-07-31,198.4405,202.0,194.95,200.75,139961152,200.75
2026-08-03,197.69,208.74,196.85,206.64,128406883,206.64
2026-08-04,211.3,213.06,209.05,211.94,134921997,211.94
2026-08-05,216.86,222.22,216.4,219.22,158187403,219.22
2026-08-06,221.53,223.63,217.0,218.99,113157357,218.99
