,open,high,low,close,volume,adj_close
2026-03-23,153.24,161.08,153.24,160.84,57507057,160.84
2026-03-24,160.07,162.4,151.64,154.78,56155680,154.78
2026-03-25,157.42,160.27,154.855,154.96,38543289,154.96
2026-03-26,153.055,153.12,147.25,147.56,43038425,147.56
2026-03-27,145.88,145.96,141.56,143.06,35790820,143.06
2026-03-30,143.27,144.12,136.3,137.55,41289824,137.55
2026-03-31,140.02,147.8599,138.97,146.28,45558573,146.28
2026-04-01,147.0,148.3,144.47,146.49,34170985,146.49
2026-04-02,143.485,148.51,137.99,148.46,30436962,148.46
2026-04-06,148.36,150.61,146.6308,147.93,25142245,147.93
2026-04-07,146.882,150.27,144.45,150.07,28671080,150.07
2026-04-08,154.765,156.28,139.1701,140.76,64827655,140.76
2026-04-09,139.395,139.54,128.47,130.49,92361443,130.49
2026-04-10,128.48,129.2,122.68,128.06,116656836,128.06
2026-04-13,130.23,134.4199,129.15,132.37,65772822,132.37
2026-04-14,134.4265,138.07,134.0,135.7,52786834,135.7
2026-04-15,136.79,142.58,134.93,142.15,48389446,142.15
2026-04-16,144.29,145.55,139.53,142.76,43746002,142.76
2026-04-17,145.315,148.28,143.3,146.39,50657587,146.39
2026-04-20,145.0,147.2,143.83,145.89,33482669,145.89
2026-04-21,146.81,149.87,143.999,145.97,44829990,145.97
2026-04-22,148.36,152.68,147.41,152.62,43701459,152.62
2026-04-23,149.7,150.29,139.92,141.57,58654421,141.57
2026-04-24,142.96,143.33,138.93,143.09,38677156,143.09
2026-04-27,141.25,145.07,141.01,143.1,31275433,143.1
2026-04-28,142.3,143.85,140.4201,141.18,24757213,141.18
2026-04-29,139.76,139.76,134.68,137.97,33348062,137.97
2026-04-30,138.475,140.2,136.65,139.11,32523579,139.11
2026-05-01,143.25,146.44,141.39,144.07,33219902,144.07
2026-05-04,147.75,149.64,145.225,146.03,70525850,146.03
2026-05-05,140.295,142.98,134.72,135.91,89747094,135.91
2026-05-06,133.71,135.7,131.1501,133.79,55524828,133.79
2026-05-07,135.1,140.95,134.78,137.05,50184874,137.05
2026-05-08,135.865,137.88,133.02,137.8,41745393,137.8
2026-05-11,134.91,137.14,132.771,136.89,41414474,136.89
2026-05-12,136.6,137.43,133.46,136.0,38781122,136.0
2026-05-13,134.006,136.99,128.75,130.05,55189399,130.05
2026-05-14,129.65,134.48,129.45,133.73,37052595,133.73
2026-05-15,132.8,135.64,132.2901,133.99,32629745,133.99
2026-05-18,132.5,135.935,131.33,135.14,32034602,135.14
2026-05-19,135.17,137.47,133.6,135.26,29777288,135.26
2026-05-20,134.145,137.24,132.42,137.15,30932761,137.15
2026-05-21,135.8,138.55,135.42,137.415,24311882,137.415
2026-05-22,137.425,139.02,134.3,136.88,27578014,136.88
2026-05-26,136.16,138.68,133.3,136.6,31723941,136.6
