,open,high,low,close,volume,adj_close
2026-02-11,696.39,697.14,689.18,691.96,76353872,691.96
2026-02-12,694.24,695.35,680.37,681.27,118828963,681.27
2026-02-13,681.69,686.28,677.52,681.75,96267487,681.75
2026-02-17,680.14,684.94,675.78,682.85,81354660,682.85
2026-02-18,684.02,689.15,682.83,686.29,73570341,686.29
2026-02-19,683.84,686.18,681.5475,684.48,58649363,684.48
2026-02-20,682.32,690.06,681.73,689.43,100033986,689.43
2026-02-23,687.83,690.0,680.371,682.39,90558087,682.39
2026-02-24,681.9,688.35,680.0,687.35,73798727,687.35
2026-02-25,690.18,693.68,690.1,693.15,56369479,693.15
2026-02-26,693.28,693.3,684.35,689.3,71670990,689.3
2026-02-27,683.09,686.86,681.64,685.99,83308868,685.99
2026-03-02,678.7,688.62,678.02,686.38,87477198,686.38
2026-03-03,675.06,682.61,669.66,680.33,105003113,680.33
2026-03-04,681.63,687.09,679.62,685.13,79182244,685.13
2026-03-05,682.08,685.53,675.61,681.31,106606464,681.31
2026-03-06,673.41,676.11,669.76,672.38,100686951,672.38
2026-03-09,666.39,679.92,662.39,678.27,102667711,678.27
2026-03-10,677.72,683.36,674.76,677.18,81505315,677.18
2026-03-11,677.58,680.08,673.34,676.33,68441672,676.33
2026-03-12,671.16,671.65,665.87,666.06,108882246,666.06
2026-03-13,669.27,672.335,661.36,662.29,97200242,662.29
2026-03-16,668.38,672.07,667.12,669.03,82023130,669.03
2026-03-17,672.39,674.44,669.7,670.79,87128044,670.79
2026-03-18,668.36,669.72,661.19,661.43,82062576,661.43
2026-03-19,656.97,662.98,655.17,659.8,111272539,659.8
2026-03-20,656.51,656.69,644.72,648.57,163617522,648.57
2026-03-23,658.07,662.615,653.94,655.38,134802732,655.38
2026-03-24,651.32,657.03,649.88,653.18,96457478,653.18
2026-03-25,658.67,660.89,654.24,656.82,90653787,656.82
2026-03-26,652.06,654.85,644.82,645.09,96494375,645.09
2026-03-27,642.5,642.66,633.105,634.09,103649368,634.09
2026-03-30,640.11,640.37,629.28,631.97,99275851,631.97
2026-03-31,638.94,651.54,637.98,650.34,152534102,650.34
2026-04-01,653.9,658.52,653.0,655.24,97841472,655.24
2026-04-02,646.42,658.2,645.11,655.83,68358713,655.83
2026-04-06,655.86,659.72,655.52,658.93,39105758,658.93
2026-04-07,656.65,659.61,651.06,659.22,69980362,659.22
2026-04-08,676.39,677.08,671.46,676.01,93606114,676.01
2026-04-09,674.84,681.16,673.77,679.91,57134445,679.91
2026-04-10,681.32,682.03,678.45,679.46,42253456,679.46
2026-04-13,677.41,686.3,676.58,686.1,54185819,686.1
2026-04-14,687.69,694.58,687.66,694.46,63480529,694.46
2026-04-15,695.26,700.28,694.2,699.94,58240384,699.94
2026-04-16,701.06,702.78,698.53,701.66,49972363,701.66
2026-04-17,706.14,712.39,705.76,710.14,70661926,710.14
2026-04-20,708.78,709.91,706.14,708.72,43546812,708.72
2026-04-21,710.28,711.275,702.64,704.08,58941384,704.08
2026-04-22,709.15,711.45,708.22,711.21,42518498,711.21
2026-04-23,709.5,712.3598,702.2803,708.45,56173990,708.45
2026-04-24,710.75,714.47,709.01,713.94,45181957,713.94
2026-04-27,713.17,715.63,712.295,715.17,33135943,715.17
2026-04-28,711.815,712.88,709.25,711.69,43117436,711.69
2026-04-29,711.0,712.2,708.37,711.58,41859227,711.58
2026-04-30,714.63,719.79,710.445,718.66,67240949,718.66
2026-05-01,721.25,724.87,720.47,720.65,43049849,720.65
2026-05-04,720.07,722.12,714.99,718.01,51950558,718.01
