,open,high,low,close,volume,adj_close
2026-03-11,402.28,416.3799,402.15,407.82,62559930,407.82
2026-03-12,405.175,406.5,394.65,395.01,60973793,395.01
2026-03-13,399.165,400.2,389.95,391.2,58504091,391.2
2026-03-16,396.22,403.73,394.42,395.56,58068343,395.56
2026-03-17,395.69,400.12,393.0,399.27,46890467,399.27
2026-03-18,399.0,403.065,392.31,392.78,50853149,392.78
2026-03-19,387.27,387.27,378.73,380.3,67078259,380.3
2026-03-20,379.85,379.89,364.4601,367.96,78628603,367.96
2026-03-23,373.09,385.33,372.73,380.85,74606049,380.85
2026-03-24,376.56,387.48,376.31,383.03,60004909,383.03
2026-03-25,389.99,396.23,385.01,385.95,55157265,385.95
2026-03-26,381.6,384.44,371.87,372.11,55522879,372.11
2026-03-27,369.69,369.86,359.47,361.83,62065659,361.83
2026-03-30,365.86,367.29,352.14,355.28,67954405,355.28
2026-03-31,361.51,373.33,361.0,371.75,75534934,371.75
2026-04-01,378.63,383.14,374.08,381.26,58683752,381.26
2026-04-02,364.195,370.28,359.03,360.59,83031226,360.59
2026-04-06,362.59,367.72,346.64,352.82,77697643,352.82
2026-04-07,346.44,348.02,337.24,346.65,74515355,346.65
2026-04-08,363.79,364.5,339.67,343.25,78838616,343.25
2026-04-09,343.15,348.88,337.25,345.62,62164016,345.62
2026-04-10,346.285,350.36,342.74,348.95,51336034,348.95
2026-04-13,350.065,356.35,348.57,352.42,53617477,352.42
2026-04-14,357.67,367.63,354.77,364.2,59979607,364.2
2026-04-15,366.83,394.65,362.5,391.95,113810355,391.95
2026-04-16,393.81,394.06,381.8,388.9,63515136,388.9
2026-04-17,395.92,409.28,391.65,400.62,90640032,400.62
2026-04-20,402.58,406.8,388.33,392.5,64603868,392.5
2026-04-21,393.0,393.95,385.2201,386.42,50530611,386.42
2026-04-22,387.57,393.01,385.3,387.51,62362785,387.51
2026-04-23,375.28,386.0,368.39,373.72,93969510,373.72
2026-04-24,373.5,382.76,370.73,376.3,62893307,376.3
2026-04-27,372.09,380.78,364.02,378.67,66735816,378.67
2026-04-28,374.675,382.29,372.54,376.02,50864357,376.02
2026-04-29,375.4,376.4,370.04,372.8,45384836,372.8
2026-04-30,372.75,384.75,368.17,381.63,51076041,381.63
2026-05-01,382.485,397.8211,378.8,390.82,65338257,390.82
2026-05-04,390.23,394.64,384.8004,392.51,48765143,392.51
2026-05-05,395.185,402.12,389.0,389.37,47780631,389.37
2026-05-06,386.25,401.68,384.02,398.73,53465365,398.73
2026-05-07,407.48,415.83,402.12,411.79,64294224,411.79
2026-05-08,416.475,431.2,416.39,428.35,65049970,428.35
2026-05-11,422.16,449.16,416.8,445.0,78376127,445.0
2026-05-12,441.41,447.8,422.26,433.45,60569303,433.45
2026-05-13,436.665,453.4,430.21,445.27,68283229,445.27
2026-05-14,446.49,451.98,441.16,443.3,46070361,443.3
2026-05-15,433.98,434.66,422.0,422.24,52688742,422.24
2026-05-18,419.27,421.13,405.33,409.99,52474188,409.99
2026-05-19,403.16,405.63,393.63,404.11,46500551,404.11
2026-05-20,407.6,417.46,406.39,417.26,44484579,417.26
2026-05-21,422.175,426.95,412.9,417.85,42636854,417.85
2026-05-22,422.665,431.51,420.51,426.01,46104710,426.01
2026-05-26,430.26,435.2,426.12,433.59,45658897,433.59
2026-05-27,442.89,445.6,435.52,440.36,44656505,440.36
2026-05-28,437.615,443.96,436.3,442.1,32434996,442.1
2026-05-29,439.845,441.07,428.14,435.79,45176821,435.79
2026-06-01,427.49,429.6,415.43,415.88,44937852,415.88
2026-06-02,418.22,424.42,413.65,423.74,37596045,423.74
2026-06-03,418.7,433.6,416.0,423.7,44500733,423.7
2026-06-04,419.84,426.3499,417.16,418.45,35323259,418.45
2026-06-05,420.5,424.6799,388.59,391.0,63420177,391.0
2026-06-08,396.33,412.94,394.72,408.95,50328834,408.95
2026-06-09,411.03,418.5,384.24,396.68,59940230,396.68
2026-06-10,391.54,397.09,380.15,381.59,49695583,381.59
2026-06-11,388.28,399.54,380.66,399.15,45324348,399.15
2026-06-12,399.49,406.68,386.76,406.43,63652286,406.43
2026-06-15,412.37,416.0,407.1,411.15,45620514,411.15
2026-06-16,404.11,412.42,400.54,404.66,40255473,404.66
2026-06-17,401.53,405.94,393.76,396.38,43534299,396.38
2026-06-18,398.095,402.52,384.7,400.49,58384713,400.49
2026-06-22,394.85,414.75,394.4,405.05,47819486,405.05
2026-06-23,392.61,392.87,379.06,381.61,50420210,381.61
2026-06-24,380.08,384.58,373.05,375.53,37081421,375.53
2026-06-25,375.27,379.117,371.221,375.12,30259987,375.12
2026-06-26,370.15,387.8,368.6,379.71,53434138,379.71
2026-06-29,381.79,413.27,379.3,411.84,57645798,411.84
2026-06-30,406.0,424.54,406.0,420.6,43385619,420.6
2026-07-01,421.46,432.8599,418.0901,425.3,40127902,425.3
2026-07-02,428.01,432.35,389.3011,393.45,73915762,393.45
2026-07-06,397.5,420.0,390.5,419.77,54727861,419.77
2026-07-07,416.96,419.56,401.88,402.9,38149901,402.9
2026-07-08,399.375,399.63,390.51,394.06,33844906,394.06
2026-07-09,393.99,407.86,390.8631,406.55,37834988,406.55
2026-07-10,410.49,413.16,402.8101,407.76,33409995,407.76
2026-07-13,404.61,405.57,391.37,394.76,32809171,394.76
2026-07-14,399.05,402.22,394.76,396.18,23384992,396.18
2026-07-15,399.395,406.5895,390.66,394.46,31549805,394.46
2026-07-16,392.35,395.31,385.32,391.06,29269113,391.06
2026-07-17,381.78,385.6899,377.22,380.84,31394594,380.84
2026-07-20,386.045,386.61,369.425,369.57,33901516,369.57
2026-07-21,371.165,384.07,369.98,378.93,32735334,378.93
2026-07-22,375.53,380.17,372.9,374.01,30646124,374.01
2026-07-23,341.0,342.11,315.735,319.69,115606413,319.69
2026-07-24,320.72,322.96,306.51,313.03,62760007,313.03
2026-07-27,313.24,317.0,304.28,309.22,44919377,309.22
