,open,high,low,close,volume,adj_close
2026-03-12,308.14,310.95,306.019,306.5,7514907,306.5
2026-03-13,307.59,310.35,306.4201,307.14,4814144,307.14
2026-03-16,307.85,311.13,307.38,310.11,6401225,310.11
2026-03-17,311.32,312.69,307.38,308.46,6872151,308.46
2026-03-18,307.41,307.935,298.5,299.02,7191684,299.02
2026-03-19,298.04,302.465,297.0322,299.71,6826379,299.71
2026-03-20,299.85,302.92,299.0101,301.62,14398132,301.62
2026-03-23,305.2,307.85,302.85,304.44,7824542,304.44
2026-03-24,302.0,306.035,300.62,303.76,5375944,303.76
2026-03-25,305.48,308.49,302.17,304.91,6280873,304.91
2026-03-26,304.16,307.87,303.0,305.53,7652673,305.53
2026-03-27,304.32,304.59,294.32,295.52,9974411,295.52
2026-03-30,298.73,300.68,295.89,299.54,9330319,299.54
2026-03-31,301.6,303.34,296.585,302.24,10246903,302.24
2026-04-01,305.05,305.05,293.89,298.51,7707556,298.51
2026-04-02,297.8,302.4699,295.85,300.8,4376048,300.8
2026-04-06,300.74,304.42,299.46,303.33,5501001,303.33
2026-04-07,302.44,304.981,301.12,302.55,4413857,302.55
2026-04-08,307.73,311.08,307.7,308.96,6879288,308.96
2026-04-09,308.0,309.58,303.59,308.29,4811480,308.29
2026-04-10,308.71,309.0,303.51,304.36,5190038,304.36
2026-04-13,303.93,309.75,302.34,309.39,6787248,309.39
2026-04-14,308.47,312.12,307.49,311.37,5571023,311.37
2026-04-15,313.0,316.73,311.52,315.91,4831444,315.91
2026-04-16,316.35,318.0,314.57,315.1,5695849,315.1
2026-04-17,316.6,319.44,315.18,317.02,8082341,317.02
2026-04-20,316.4,317.5486,312.35,313.94,5506825,313.94
2026-04-21,314.01,316.89,308.82,309.94,6806871,309.94
2026-04-22,311.01,311.36,308.06,311.29,5666602,311.29
2026-04-23,310.495,312.2,305.01,308.88,7274986,308.88
2026-04-24,307.1,309.98,304.5,309.42,5616898,309.42
2026-04-27,307.51,310.815,306.06,309.65,6261475,309.65
2026-04-28,312.2,313.96,308.74,309.3,8839906,309.3
2026-04-29,336.4,341.98,333.79,334.86,16658561,334.86
2026-04-30,332.12,332.5,328.08,329.84,11241056,329.84
2026-05-01,332.88,335.85,327.925,328.03,6726071,328.03
2026-05-04,328.0,329.79,325.4,326.85,6712421,326.85
2026-05-05,325.11,325.58,319.645,322.03,5893197,322.03
2026-05-06,323.75,324.58,318.0,318.8,7808382,318.8
2026-05-07,319.54,323.69,319.54,321.28,7186066,321.28
2026-05-08,320.985,321.07,316.16,318.79,5950212,318.79
2026-05-11,319.1,325.18,318.01,323.86,9586163,323.86
2026-05-12,324.32,328.91,324.2,326.42,6235152,326.42
2026-05-13,323.79,325.42,319.8,320.31,7950446,320.31
2026-05-14,321.37,323.325,320.25,322.52,5277351,322.52
2026-05-15,324.0,329.01,323.84,325.75,6054523,325.75
2026-05-18,324.43,333.43,323.77,332.64,5305798,332.64
2026-05-19,333.33,335.17,329.49,329.91,12858128,329.91
2026-05-20,330.09,331.655,326.8201,330.75,9346706,330.75
2026-05-21,329.84,332.52,327.235,331.12,7034505,331.12
2026-05-22,330.52,333.43,328.82,328.88,7464251,328.88
