,open,high,low,close,volume,adj_close
2026-04-14,123.15,125.2,122.545,125.05,15320783,125.05
2026-04-15,124.63,125.07,123.1799,124.76,17001399,124.76
2026-04-16,124.33,125.94,123.965,124.82,18324542,124.82
2026-04-17,124.57,127.57,123.37,127.5,24763651,127.5
2026-04-20,127.87,129.47,127.32,127.92,18933585,127.92
2026-04-21,127.83,129.77,127.48,129.6,17312386,129.6
2026-04-22,130.0,130.4499,128.84,129.98,17624490,129.98
2026-04-23,130.57,132.46,130.49,132.03,16375999,132.03
2026-04-24,131.94,132.12,129.2812,129.92,16016319,129.92
2026-04-27,129.615,129.81,127.395,127.59,17029468,127.59
2026-04-28,129.34,129.77,126.78,127.59,16341768,127.59
2026-04-29,126.68,128.08,125.91,128.01,16538798,128.01
2026-04-30,128.02,132.43,127.95,131.93,19867700,131.93
2026-05-01,131.915,133.37,130.98,131.6,10480869,131.6
2026-05-04,130.41,131.75,129.68,130.33,10340667,130.33
2026-05-05,130.51,131.73,130.3,130.79,10637307,130.79
2026-05-06,130.86,131.15,129.53,130.08,16371545,130.08
2026-05-07,129.895,130.6,128.665,130.2,14935414,130.2
2026-05-08,130.315,131.41,130.25,130.43,15183657,130.43
2026-05-11,130.18,130.6,126.38,127.59,18699179,127.59
2026-05-12,128.075,131.12,127.72,130.35,17935358,130.35
2026-05-13,129.19,132.53,128.77,131.47,13786552,131.47
2026-05-14,131.355,132.78,130.86,132.46,14200408,132.46
2026-05-15,133.69,133.95,130.785,131.45,25322971,131.45
2026-05-18,131.52,133.47,131.125,133.34,17183216,133.34
2026-05-19,132.94,135.155,132.06,134.2,16957144,134.2
2026-05-20,132.905,133.65,130.33,130.85,28130830,130.85
2026-05-21,124.408,125.8,120.39,121.34,53006570,121.34
2026-05-22,121.34,121.95,118.91,120.27,30330576,120.27
2026-05-26,120.685,121.05,117.92,118.57,28796647,118.57
2026-05-27,118.33,119.4299,118.04,118.54,22062232,118.54
2026-05-28,118.96,119.17,117.33,118.9,21613085,118.9
2026-05-29,118.11,119.08,114.71,115.75,42190998,115.75
2026-06-01,114.725,115.98,113.56,114.6,26176225,114.6
2026-06-02,113.87,114.5694,112.73,113.06,27366401,113.06
2026-06-03,113.1,117.29,112.96,116.89,32880555,116.89
2026-06-04,119.895,119.938,117.285,117.74,22870427,117.74
2026-06-05,118.35,120.89,118.1,118.88,36638136,118.88
2026-06-08,118.245,120.18,118.15,119.83,19514137,119.83
2026-06-09,120.38,120.5,118.0,118.88,23958996,118.88
2026-06-10,119.71,120.8192,117.53,120.59,22414871,120.59
2026-06-11,120.57,121.86,119.46,120.5,22438028,120.5
2026-06-12,120.59,121.61,119.53,121.04,14770841,121.04
2026-06-15,119.74,121.49,118.58,120.82,20722462,120.82
2026-06-16,121.14,122.94,119.88,121.03,23060729,121.03
2026-06-17,119.58,121.01,117.45,118.13,21711069,118.13
2026-06-18,118.2,118.48,116.795,117.18,36526766,117.18
2026-06-22,116.955,118.4,116.945,117.18,17053911,117.18
2026-06-23,119.71,120.25,116.34,119.42,23411423,119.42
2026-06-24,119.56,120.4,118.93,119.0,20600078,119.0
2026-06-25,117.47,118.58,115.38,115.78,20404638,115.78
2026-06-26,117.29,117.88,115.09,115.69,36635971,115.69
2026-06-29,116.47,116.8,114.2,114.6,20366986,114.6
2026-06-30,113.97,114.61,112.93,113.26,23033999,113.26
2026-07-01,110.13,110.71,107.25,108.82,40391394,108.82
2026-07-02,109.33,112.45,109.16,111.84,29526234,111.84
2026-07-06,111.4,112.37,109.37,110.65,29523272,110.65
2026-07-07,112.968,113.5,111.3,111.54,19941406,111.54
2026-07-08,113.15,113.86,111.81,113.1,19892044,113.1
2026-07-09,111.24,112.76,111.04,112.21,20464490,112.21
2026-07-10,111.95,114.16,111.9301,113.9,12461695,113.9
2026-07-13,114.725,115.54,114.01,114.78,17043419,114.78
2026-07-14,115.08,115.88,113.5,113.7,14681967,113.7
2026-07-15,113.25,114.73,112.07,112.53,16467942,112.53
2026-07-16,113.76,115.585,113.555,114.95,20777618,114.95
2026-07-17,116.96,118.09,113.6,114.24,28289808,114.24
2026-07-20,113.96,114.4,112.14,112.2,17738930,112.2
2026-07-21,111.51,111.8,109.89,110.39,22717028,110.39
2026-07-22,109.53,110.0,108.72,109.33,23494769,109.33
2026-07-23,107.505,108.555,106.79,108.4,21516804,108.4
2026-07-24,108.12,109.6,108.01,109.47,18405918,109.47
2026-07-27,109.92,112.51,109.89,111.74,19008748,111.74
2026-07-28,113.96,116.03,112.835,113.1,24867895,113.1
2026-07-29,113.23,114.69,112.45,114.22,23480003,114.22
2026-07-30,111.61,113.0259,110.435,111.1,28746996,111.1
2026-07-31,110.52,111.91,109.89,111.2,22799139,111.2
2026-08-03,113.1,113.29,110.155,110.71,23942452,110.71
2026-08-04,109.005,111.68,108.56,111.55,29620002,111.55
2026-08-05,112.45,113.155,111.36,112.34,21446299,112.34
2026-08-06,114.065,114.56,111.035,112.07,23203146,112.07
2026-08-07,110.61,112.29,110.5,111.85,18819348,111.85
2026-08-10,111.075,112.7,110.76,112.66,19143979,112.66
2026-08-11,112.44,113.34,112.19,113.26,17005849,113.26
2026-08-12,112.365,116.045,112.28,116.01,22054703,116.01
2026-08-13,116.17,116.32,114.805,115.72,16822246,115.72
2026-08-14,115.655,116.45,114.635,115.27,14519994,115.27
2026-08-17,114.33,115.18,113.915,114.33,18131050,114.33
2026-08-18,116.3,116.31,114.48,115.2,20674966,115.2
2026-08-19,115.19,116.87,113.99,114.3,34286596,114.3
2026-08-20,106.38,107.0,102.85,103.84,83633145,103.84
2026-08-21,103.685,104.28,102.15,103.7,44454190,103.7
2026-08-24,104.14,106.595,104.0,106.49,35616300,106.49
2026-08-25,105.58,106.07,104.4,105.38,27032531,105.38
2026-08-26,105.51,106.09,104.075,104.34,28409350,104.34
2026-08-27,103.61,103.75,102.27,102.63,29816560,102.63
2026-08-28,103.09,103.395,102.5003,103.09,19420840,103.09
2026-08-31,103.08,104.987,102.84,104.87,34188733,104.87
2026-09-01,105.11,106.64,104.66,105.92,22074574,105.92
2026-09-02,105.97,106.78,105.46,106.09,25181796,106.09
2026-09-03,106.415,109.35,106.02,108.42,25368340,108.42
