date,total_value
2026-05-29,100000.0
2026-05-30,100000.0
2026-06-01,100000.0
2026-06-02,100320.13
2026-06-03,100701.2
2026-06-04,100244.83
2026-06-05,98784.98
2026-06-06,96619.38
2026-06-09,96709.32
2026-06-10,96068.52
2026-06-11,95256.51
2026-06-12,96329.69
2026-06-13,96666.22
2026-06-16,98244.36
2026-06-17,96814.29
2026-06-18,96321.6
2026-06-19,97103.89
2026-06-20,97103.89
2026-06-23,97815.94
2026-06-24,96959.96
2026-06-25,97075.96
2026-06-26,97789.07
2026-06-27,98899.12
2026-06-30,99534.13
2026-07-01,100174.57
2026-07-02,99904.72
2026-07-03,100103.11
2026-07-04,100103.11
2026-07-07,99588.0
2026-07-08,99002.76
2026-07-09,97951.4
2026-07-10,99153.78
2026-07-11,99127.26
2026-07-14,98635.57
2026-07-15,99069.52
2026-07-16,99047.16
2026-07-17,99182.22
2026-07-18,99265.0
2026-07-21,98579.35
2026-07-22,98629.84
2026-07-23,97990.66
2026-07-24,97176.3
2026-07-25,97848.68
2026-07-28,98515.31
2026-07-29,99828.99
2026-07-30,99755.05
2026-07-31,98942.96
2026-08-01,98175.31
2026-08-04,98277.04
2026-08-05,98932.7
2026-08-06,98878.53
2026-08-07,98203.75
2026-08-08,98203.75
2026-08-11,100627.86
2026-08-12,100398.43
2026-08-13,100398.43
2026-08-14,99211.66
2026-08-17,98280.82
2026-08-18,99007.89
2026-08-19,100548.4
2026-08-20,99318.05
2026-08-21,100340.95
2026-08-24,99785.3
2026-08-25,100542.67
2026-08-27,100388.94
2026-08-28,103432.62
2026-08-29,103545.1
2026-09-01,103335.02
2026-09-02,101885.82
2026-09-03,101427.73
